 Supernatant GFPuv (mg/mL), PelletGFPuv  (mg/mL),Batch id 
0,0,20221028_0906_BR-1210
0.07,0.48,20221115_0832_BR-1210
0,0,20221117_0815_BR-1210
0.11,1.17,20230111_0653_BR-1210
0.12,1.15,20230307_0737_BR-1210
0.29,1.31,20230504_0839_BR-1210
0.02,0.88,20230518_0856_BR-1210
0.05,0.68,20230524_0902_BR-1210
0,0,20230615_0848_BR-1210
0.17,0.96,20230824_0925_BR-1210
0.07,1.66,20231023_1358_BR-1210
0.09,0.83,20240111_0851_BR-1210
0.13,0.97,20240306_0847_BR-1210
0.07,1.46,20240502_0858_BR-1210
0.08,1.58,20240516_0838_BR-1210
0.09,1.52,GC_240625_BR1210
0.11,1.43,GP_240702_BR1210
0.1,1.02,GC_240730_BR1210
0.15,1.79,GP_241009_BR1210
0.11,1.91,GP_241022_BR1210
