Time (hours),Sum of Glucose,Batch
0,7.480000019073486,20221028_0906_BR-1210
0,7.320000171661377,20221115_0832_BR-1210
0,7.880000114440918,20221117_0815_BR-1210
0,7.689999580383301,20230111_0653_BR-1210
0,7.349999904632568,20230307_0737_BR-1210
0,7.309999942779541,20230504_0839_BR-1210
0,7.25,20230518_0856_BR-1210
0,7.3,20230524_0902_BR-1210
0,7.08,20230615_0848_BR-1210
0,7.5400004386901855,20230824_0925_BR-1210
0,7.389999866485596,20231023_1358_BR-1210
0,8,20240111_0851_BR-1210
0,7.9,20240306_0847_BR-1210
0,8.270000457763672,20240502_0858_BR-1210
0,9.050000190734863,20240516_0838_BR-1210
0,0.00001,GC_240625_BR1210
0,0.00001,GC_240730_BR1210
0,0.00001,GP_240702_BR1210
0,8,GP_241009_BR1210
0,7.199999809265137,GP_241022_BR1210
0.025904166628606617,8,GC_240730_BR1210
0.36402944452129304,8,GC_240625_BR1210
0.48055527778342366,7.389999866485596,20231023_1358_BR-1210
0.6003483334206976,8.899999618530273,GP_240702_BR1210
0.8361805554013699,9.050000190734863,20240516_0838_BR-1210
0.8527777778799646,7.429999828338623,20221115_0832_BR-1210
0.9028475001105107,7.320000171661377,20230518_0856_BR-1210
0.906944444286637,7.08,20230615_0848_BR-1210
0.9683333333814517,7.11,20230524_0902_BR-1210
0.9778483333066106,7.760000228881836,20230824_0925_BR-1210
0.9888888888526708,8,GP_241009_BR1210
0.9958330555236898,7.389999866485596,20231023_1358_BR-1210
1.0111111112055369,8.06,20240111_0851_BR-1210
1.011320833407808,8,GC_240625_BR1210
1.0333330555586144,7.259999752044678,20230307_0737_BR-1210
1.045903333229944,7.389999866485596,20230504_0839_BR-1210
1.0694444443797693,7.689999580383301,20230111_0653_BR-1210
1.079515277815517,8.170000076293945,GP_240702_BR1210
1.084791666653473,7.559999942779541,20221028_0906_BR-1210
1.1000000000931323,7.199999809265137,GP_241022_BR1210
1.111180555599276,7.53000020980835,20221117_0815_BR-1210
1.116666666639503,8.630000114440918,20240502_0858_BR-1210
1.7224291666061617,7.869999885559082,20240516_0838_BR-1210
1.7930558334337547,7.429999828338623,20221115_0832_BR-1210
1.9167358333943412,7.010000228881836,20230307_0737_BR-1210
1.925069166580215,7.46999979019165,GP_241009_BR1210
1.950069722312037,7.239999771118164,20230518_0856_BR-1210
1.952987500000745,7.829999923706055,GC_240625_BR1210
1.9694444443448447,6.95,20230615_0848_BR-1210
1.9764580554328859,7.389999866485596,20221028_0906_BR-1210
2.0058333333581686,6.94,20230524_0902_BR-1210
2.0070150000974536,7.760000228881836,20230824_0925_BR-1210
2.009722222108394,7.25,20231023_1358_BR-1210
2.012499722186476,7.559999942779541,20230111_0653_BR-1210
2.0224999999045394,7.9,20240306_0847_BR-1210
2.0513888889108784,7.93,20240111_0851_BR-1210
2.075069444370456,7.53000020980835,20221117_0815_BR-1210
2.1320141666801646,7.030000686645508,GP_241022_BR1210
2.1740288888686337,7.659999847412109,GP_240702_BR1210
2.1959030554862693,7.389999866485596,20230504_0839_BR-1210
2.4570138888666406,8.489999771118164,20240502_0858_BR-1210
2.566736111068167,7.679999828338623,20240516_0838_BR-1210
2.692640555498656,7.460000514984131,GC_240730_BR1210
2.804166666639503,7.72,20240111_0851_BR-1210
2.908402777800802,6.789999961853027,20230307_0737_BR-1210
2.925069444521796,7.15000057220459,20230518_0856_BR-1210
2.925209722307045,7.670000076293945,GC_240625_BR1210
2.9640280554885976,7.190000057220459,20221028_0906_BR-1210
2.9722919444320723,6.859999656677246,GP_241022_BR1210
