 Total Pellet GFP(g),Total Supernatant GFP (g),Batch id 
0,0,20221028_0906_BR-1210
133.2672,19.4348,20221115_0832_BR-1210
0,0,20221117_0815_BR-1210
330.0006637573242,31.02570343017578,20230111_0653_BR-1210
319.1793975830078,33.30567626953125,20230307_0737_BR-1210
361.6751766967774,80.06549713134766,20230504_0839_BR-1210
246.31758056640626,5.598126831054688,20230518_0856_BR-1210
185.34828000000005,13.628550000000002,20230524_0902_BR-1210
0,0,20230615_0848_BR-1210
272.799140625,48.30818115234376,20230824_0925_BR-1210
460.9023840332031,19.435642700195313,20231023_1358_BR-1210
213.67096700000002,23.169141000000003,20240111_0851_BR-1210
263.399135,35.300915,20240306_0847_BR-1210
399.2506072998047,19.142152404785158,20240502_0858_BR-1210
410.5513409423828,20.78740966796875,20240516_0838_BR-1210
401.95014892578126,23.799679870605466,GC_240625_BR1210
393.62975646972654,30.27921203613281,GP_240702_BR1210
275.496123046875,27.009423828125,GC_240730_BR1210
477.61333038330076,40.0234634399414,GP_241009_BR1210
496.22281463623045,28.578277282714843,GP_241022_BR1210
